,CAPE,Date,Price,Return_5y,Return_1y,Return_1m,CAPE_Bucket_Full,CAPE_Bucket_Full_Lagged_5y,Perc_0.2_Roll,Perc_0.4_Roll,Perc_0.6_Roll,Perc_0.8_Roll,CAPE_Bucket_Roll,CAPE_Bucket_Roll_Lagged_5y,CAPE_Bucket_Roll_Lagged_1y,CAPE_Bucket_Roll_Lagged_1m,EP,Roll_Median,Roll_Perc_0.05,Roll_Perc_0.95,Value
89,19.41,1989-06-30,1548.6800537109375,,0.31407771988202837,0.5804964819732215,d)18.8to20.4,e)Below18.8,12.554,14.588,17.468,21.302,2,2.0,3.0,2.0,0.05151983513652756,0.06385761139095823,0.040519297685224206,0.104128954493918,9.44
90,20.0,1989-07-31,1594.699951171875,,0.3636208202403788,0.35658673862814805,d)18.8to20.4,e)Below18.8,12.57,14.6,17.69,21.25,2,3.0,2.0,2.0,0.05,0.06365372374283895,0.04053572886838934,0.10411269535357126,8.69
91,21.0,1989-08-31,1570.6400146484375,,0.252823645075382,-0.18104925510851322,c)20.4to22.7,e)Below18.8,12.588000000000001,14.604,17.702,21.206,2,2.0,2.0,2.0,0.047619047619047616,0.06363347764750091,0.04055216005155448,0.10409643621322454,9.0
92,20.97,1989-09-30,1464.8699951171875,,0.11971717570585705,-0.8081038446350153,c)20.4to22.7,e)Below18.8,12.606,14.607999999999999,17.714000000000002,21.162000000000003,2,1.0,2.0,2.0,0.047687172150691466,0.06361323155216285,0.04056859123471961,0.1040801770728778,9.13
93,19.65,1989-10-31,1556.4100341796875,,0.221902102630833,0.749882564604051,d)18.8to20.4,e)Below18.8,12.624,14.644,17.726,21.118000000000002,2,1.0,2.0,2.0,0.050890585241730284,0.0632729468018838,0.04058502241788475,0.10406391793253107,8.75
94,21.06,1989-11-30,1778.1199951171875,,0.33670118793338943,1.7093950005611713,c)20.4to22.7,e)Below18.8,12.642,14.712,17.862,21.098,2,1.0,2.0,2.0,0.04748338081671415,0.06293266205160478,0.040601453601049886,0.10404765879218435,8.81
95,23.47,1989-12-31,1821.2099609375,,0.37518311607353794,0.29080129083733297,b)22.7to29.5,e)Below18.8,12.66,14.78,18.06,21.25,1,1.0,2.0,2.0,0.0426075841499787,0.06256085838898648,0.04061788478421502,0.10403139965183761,8.5
96,24.07,1990-01-31,1806.6300048828125,,0.40071635705605546,-0.09606771125180291,b)22.7to29.5,e)Below18.8,12.706000000000001,14.788,18.096,21.458000000000006,1,1.0,2.0,1.0,0.04154549231408392,0.06218905472636817,0.04063431596738016,0.10401514051149088,8.31
97,23.69,1990-02-28,1966.75,,0.49009757911638396,1.0635492249177414,b)22.7to29.5,e)Below18.8,12.752,14.796000000000001,18.14,21.678,1,1.0,2.0,1.0,0.04221190375685943,0.06176937398895095,0.04065074715054529,0.10399888137114414,8.38
98,25.42,1990-03-31,1812.9100341796875,,0.3194011692822474,-0.9386447641254603,b)22.7to29.5,e)Below18.8,12.798,14.812000000000001,18.2,21.838,1,1.0,2.0,1.0,0.03933910306845004,0.06134969325153374,0.04036978784315297,0.10398262223079742,8.38
99,25.51,1990-04-30,1836.68994140625,,0.30534798171248756,0.1574037769876826,b)22.7to29.5,e)Below18.8,12.844000000000001,14.836,18.252,21.922,1,1.0,2.0,1.0,0.03920031360250882,0.06010392255278277,0.04035349787810148,0.10396636309045068,8.5
100,23.34,1990-05-31,1884.6700439453125,,0.27582220747276387,0.3134776412114082,b)22.7to29.5,e)Below18.8,12.89,14.86,18.3,21.97,1,1.0,2.0,1.0,0.04284490145672665,0.05885815185403179,0.04035512510088781,0.10395010395010396,8.31
101,24.0,1990-06-30,1922.9200439453125,,0.2416509396744817,0.24354395692475794,b)22.7to29.5,e)Below18.8,12.922,14.86,18.330000000000002,22.322000000000006,1,1.0,2.0,1.0,0.041666666666666664,0.058840840632898246,0.04035593969768032,0.10387554957227087,8.31
102,24.09,1990-07-31,1622.010009765625,,0.017125515413530357,-1.8778318014448572,b)22.7to29.5,e)Below18.8,12.954,14.86,18.388,22.458,1,1.0,2.0,1.0,0.04151100041511,0.058823529411764705,0.04035675429447283,0.1038009951944378,8.0
103,20.5,1990-08-31,1327.97998046875,,-0.15449754999015675,-2.1753012190549526,c)20.4to22.7,e)Below18.8,12.986,14.974000000000002,18.502,22.442,2,1.0,2.0,1.0,0.04878048780487805,0.0587200882697745,0.040357568891265336,0.10372644081660475,8.06
104,16.7,1990-09-30,1434.5,,-0.020732211881203777,0.9625448072822644,e)Below18.8,d)18.8to20.4,13.018,15.202,18.426000000000002,22.426,3,1.0,2.0,2.0,0.059880239520958084,0.058823529411764705,0.04035838348805785,0.10365188643877168,8.27
105,18.39,1990-10-31,1436.5699462890625,,-0.07699776103909994,0.01731568871993794,e)Below18.8,c)20.4to22.7,13.05,15.43,18.39,22.41,3,1.0,2.0,3.0,0.0543773790103317,0.0587200882697745,0.040359198084850355,0.10357733206093862,7.94
106,18.42,1990-11-30,1389.3499755859375,,-0.21864104818506802,-0.39443930307830843,e)Below18.8,c)20.4to22.7,13.056000000000001,15.437999999999999,18.408,22.322000000000006,2,1.0,2.0,3.0,0.054288816503800214,0.0586166471277843,0.04036001268164286,0.10350277768310553,8.63
107,18.09,1990-12-31,1421.1600341796875,,-0.2196616180112917,0.2747476948448613,e)Below18.8,b)22.7to29.5,13.062000000000001,15.446,18.396,22.234,3,1.0,1.0,2.0,0.055279159756771695,0.058176683841028407,0.040360827278435374,0.10342822330527247,7.63
108,17.76,1991-01-31,1564.449951171875,,-0.13405072043328903,1.2099122987924131,e)Below18.8,b)22.7to29.5,13.068,15.482,18.382,22.146,3,1.0,1.0,3.0,0.0563063063063063,0.057736720554272515,0.04036164187522788,0.10335366892743941,6.94
109,19.4,1991-02-28,1515.3199462890625,,-0.22953097938779077,-0.37684814279429757,d)18.8to20.4,b)22.7to29.5,13.074,15.546,18.402,22.058,2,1.0,1.0,3.0,0.051546391752577324,0.05713291652360319,0.04036245647202039,0.10327911454960635,7.0
110,18.95,1991-03-31,1606.8699951171875,,-0.11365155202294952,0.7249957928871167,d)18.8to20.4,b)22.7to29.5,13.08,15.61,18.42,21.97,2,1.0,1.0,2.0,0.052770448548812667,0.05652911249293386,0.0403632710688129,0.10320456017177329,6.31
111,19.4,1991-04-30,1707.9599609375,,-0.07008803041094058,0.7549332513084108,d)18.8to20.4,b)22.7to29.5,13.096,15.65,18.492,21.958,2,1.0,1.0,2.0,0.051546391752577324,0.05649719317475603,0.040364085665605405,0.1031300057939402,6.06
112,20.18,1991-05-31,1623.72998046875,,-0.13845397729690567,-0.591793595132168,d)18.8to20.4,b)22.7to29.5,13.112,15.690000000000001,18.57,21.946,2,1.0,1.0,2.0,0.049554013875123884,0.0564652738565782,0.04036490026239792,0.10305545141610714,5.94
113,19.23,1991-06-30,1619.2900390625,,-0.15790048361025233,-0.032812904556716926,d)18.8to20.4,b)22.7to29.5,13.128,15.712000000000002,18.66,21.934,2,1.0,1.0,2.0,0.052002080083203325,0.05643342655039852,0.040365714859190424,0.10298089703827408,6.06
114,18.61,1991-07-31,1649.8800048828125,,0.017182381705039385,0.226691686472841,e)Below18.8,c)20.4to22.7,13.144,15.716000000000001,18.642,21.922,3,1.0,1.0,2.0,0.05373455131649651,0.05640157924421884,0.04036652945598294,0.10290634266044102,5.94
115,18.79,1991-08-31,1605.469970703125,,0.20895645590713396,-0.32300555711874424,e)Below18.8,b)22.7to29.5,13.16,15.72,18.69,21.91,2,1.0,2.0,3.0,0.0532197977647685,0.05635394277526257,0.04036734405277544,0.10283178828260796,5.69
116,18.3,1991-09-30,1579.77001953125,,0.1012687483661554,-0.19209291963737796,e)Below18.8,b)22.7to29.5,13.162,15.788000000000002,18.658,21.886000000000003,3,1.0,3.0,2.0,0.0546448087431694,0.0563063063063063,0.04036815864956795,0.10275723390477487,5.44
117,18.16,1991-10-31,1571.06005859375,,0.09361890985684429,-0.06616123230456816,e)Below18.8,b)22.7to29.5,13.164,15.856000000000002,18.626,21.862000000000002,3,1.0,3.0,3.0,0.05506607929515418,0.05583864595492502,0.04036897324636046,0.10268267952694181,5.13
